Date,Open,930,315,Close,Volume
2018-10-22,10405.85,10326.3,10233.6,10252.55,0
2018-10-23,10152.6,10165.5,10148.95,10184.35,0
2018-10-24,10278.15,10233.9,10241.25,10239.9,0
2018-10-25,10135.05,10148.7,10116.05,10139.3,0
2018-10-26,10122.35,10032.65,10042.65,10012.65,0
2018-10-29,10078.1,10060.75,10256.6,10249.05,0
2018-10-30,10239.4,10235.1,10201.85,10190.2,0
2018-10-31,10209.55,10192.9,10387.5,10362.0,0
2018-11-01,10441.7,10377.3,10381.7,10381.15,0
2018-11-02,10462.3,10511.0,10554.3,10557.2,0
2018-11-05,10558.75,10541.35,10524.55,10526.15,0
2018-11-06,10552.0,10580.65,10533.3,10520.4,0
2018-11-07,10614.45,10594.8,10597.25,10600.25,0
2018-11-09,10614.7,10572.85,10592.5,10581.55,0
2018-11-12,10607.8,10636.85,10488.35,10479.55,0
2018-11-13,10451.9,10495.3,10588.65,10581.2,0
2018-11-14,10634.9,10598.5,10580.6,10568.15,0
2018-11-15,10580.6,10568.2,10621.0,10601.35,0
2018-11-16,10644.0,10663.8,10682.3,10680.85,0
2018-11-19,10731.25,10704.25,10760.4,10770.35,0
2018-11-20,10740.1,10730.2,10662.05,10647.55,0
2018-11-21,10670.95,10623.2,10600.3,10605.3,0
2018-11-22,10612.65,10630.15,10524.5,10522.3,0
2018-11-26,10568.3,10539.4,10635.6,10633.05,0
2018-11-27,10621.45,10625.45,10682.25,10685.25,0
2018-11-28,10708.75,10726.95,10730.05,10721.55,0
2018-11-29,10808.7,10806.25,10851.3,10875.85,0
